id,name,username,location,description,followers_count,friends_count,listed_count,date_joined,favourites_count,time_zone,verified,statuses_count,language,current_following,follow_request_sent
1436083488755798020,舞 вяεα∂NeverWinsAgain🥶😈 1舞(limited;-;),TheActualBread1,Your mom's house,"#LegitMurtuza #FhodsLegit #GalleumLegit #djslegit (use code Threshen and MURTUZA #AD?) #FhodsRich 
#thelegitbread (a very good meme stealer)
Alt:@GhostZX55",499,1000,2,Thu Sep 09 21:47:21 +0000 2021,26883,,False,21962,,False,False
1225444754055401474,LurkingSince2016,Lurker_2016,UK,"👻
Honda for life
R I P J D Big 💛
#GRDAO
Discord-LurkingSince2016|$Gear #8411

Giveaways=Post Proof Or Ur Fake",836,4924,28,Thu Feb 06 15:43:00 +0000 2020,22373,,False,24815,,False,False
1266445355505324037,BabaYaga,BabaYaga__97,,"Hybrid 🎮/⌨️🖱.
Redeemer . Claimer . #babayagalegit",183,3175,1,Fri May 29 19:04:48 +0000 2020,9068,,False,18022,,False,False
4717231036,Sina Ghozat,Xirown,,,8,267,0,Tue Jan 05 18:25:20 +0000 2016,2,,False,268,,False,False
1380625604,Phil,wannawincompo,UK,Dad / Geek / Runner,4913,5406,252,Thu Apr 25 23:21:05 +0000 2013,275,,False,361631,,False,False
742462249889992705,Vintage,VintageNFT01,México,Future NFT Collector,42,37,0,Mon Jun 13 21:02:49 +0000 2016,13,,False,73,,False,False
1500281688634527745,cutebee ❤free tag,beebigwin_sky,EXO planet,@/bigwinyuuhuuu shusi 🍣 dan @/skybee61 my FA,98,1190,3,Sun Mar 06 01:26:51 +0000 2022,606,,False,4956,,False,False
1136617424231387136,SatoshiStMemes,SatoshiMemes,,Meme and community NFT artist of SatoshiStreetBetss | Contact Me on TG: @wojakstriker,13,114,5,Thu Jun 06 12:54:46 +0000 2019,813,,False,169,,False,False
1502022715569545217,cześć,glupistas,,siemolo,2,46,0,Thu Mar 10 20:45:06 +0000 2022,67,,False,97,,False,False
1256775806044569600,Kathryn Browning,KathrynTorie,,Brandon Adams (actor),1,86,0,Sun May 03 02:41:57 +0000 2020,27,,False,41,,False,False
1501139398590533639,mikEE,calling_starsn,,"MY OLD ACCOUNT @/moon_jellybeans  GOT SUSP3ND3D, THIS IS FOR GA ACCOUNT SOLELY",22,710,0,Tue Mar 08 10:15:21 +0000 2022,1505,,False,4010,,False,False
1476573713717874688,wangi🌟,akunwangi2022_,,Bigwin | Orang beruntung tidak punya waktu untuk membenci. Dia hanya memiliki waktu untuk terus lebih baik dari dirinya yang kemarin.,57,4027,8,Thu Dec 30 15:19:48 +0000 2021,3348,,False,11819,,False,False
1487389277902225414,Dalila Wilkes 🎍 🐢,DalilaWilkes,,,150,3,0,Sat Jan 29 11:36:53 +0000 2022,0,,False,8909,,False,False
1483730219143991296,Stella Juliet,StephanieJuliz,,Girl's love for crypto,4,14,0,Wed Jan 19 09:17:14 +0000 2022,66,,False,418,,False,False
56160047,picassoc,picassoc,The Moon ,"Twitt about anything, like to be provocative, like action, sea, guys, happy, the night, know anything,",2543,4988,46,Sun Jul 12 18:48:18 +0000 2009,504783,,False,148915,,False,False
718070429772984320,Max,Max1miz3d,,#Crypto Investor + Trader | #NFT Degen | Dad,70,915,6,Thu Apr 07 13:38:26 +0000 2016,596,,False,278,,False,False
